REPORTE DE VENTAS POR ARTICULO
Empresa demostracion S. de R.L.;;Emitido por el sistema

FECHAEMISION;COD_ARTICULO;DESCRIPCION;CANT;PRECIO_UNIT;COSTO_UNIT;CLIENTE
26/02/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-04
26/02/2026;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-05
27/02/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-06
27/02/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-07
27/02/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-08
27/02/2026;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-09
28/02/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-10
28/02/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-11
28/02/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-12
28/02/2026;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-13
01/03/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-14
01/03/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-15
01/03/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-16
01/03/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-17
01/03/2026;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-18
02/03/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-01
02/03/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-02
02/03/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-03
02/03/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-04
02/03/2026;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-05
03/03/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-06
03/03/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-07
03/03/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-08
03/03/2026;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-09
04/03/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-10
04/03/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-11
04/03/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-12
05/03/2026;P-001;Producto rentable;14;L 180.00;L 95.00;C-13
05/03/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-14
05/03/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-15
06/03/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-16
06/03/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-17
06/03/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-18
07/03/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-01
07/03/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-02
07/03/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-03
08/03/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-04
08/03/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-05
08/03/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-06
09/03/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-07
09/03/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-08
09/03/2026;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-09
10/03/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-10
10/03/2026;P-003;Producto con margen bajo;10;L 105.00;L 100.00;C-11
10/03/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-12
11/03/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-13
11/03/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-14
11/03/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-15
12/03/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-16
12/03/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-17
12/03/2026;P-004;Producto por agotarse;20;L 160.00;L 105.00;C-18
13/03/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-01
13/03/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-02
13/03/2026;P-004;Producto por agotarse;22;L 160.00;L 105.00;C-03
14/03/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-04
14/03/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-05
14/03/2026;P-004;Producto por agotarse;20;L 160.00;L 105.00;C-06
15/03/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-07
15/03/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-08
15/03/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-09
15/03/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-10
16/03/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-11
16/03/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-12
16/03/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-13
17/03/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-14
17/03/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-15
17/03/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-16
18/03/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-17
18/03/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-18
18/03/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-01
19/03/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-02
19/03/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-03
19/03/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-04
20/03/2026;P-001;Producto rentable;16;L 180.00;L 95.00;C-05
20/03/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-06
20/03/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-07
21/03/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-08
21/03/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-09
21/03/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-10
22/03/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-11
22/03/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-12
22/03/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-13
23/03/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-14
23/03/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-15
23/03/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-16
24/03/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-17
24/03/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-18
24/03/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-01
25/03/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-02
25/03/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-03
25/03/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-04
26/03/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-05
26/03/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-06
26/03/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-07
27/03/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-08
27/03/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-09
27/03/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-10
28/03/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-11
28/03/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-12
28/03/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-13
28/03/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-14
29/03/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-15
29/03/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-16
29/03/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-17
30/03/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-18
30/03/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-01
30/03/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-02
31/03/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-03
31/03/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-04
31/03/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-05
01/04/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-06
01/04/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-07
01/04/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-08
01/04/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-09
02/04/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-10
02/04/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-11
02/04/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-12
03/04/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-13
03/04/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-14
03/04/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-15
04/04/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-16
04/04/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-17
04/04/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-18
05/04/2026;P-001;Producto rentable;10;L 180.00;L 95.00;C-01
05/04/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-02
05/04/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-03
06/04/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-04
06/04/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-05
06/04/2026;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-06
07/04/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-07
07/04/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-08
07/04/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-09
08/04/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-10
08/04/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-11
08/04/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-12
09/04/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-13
09/04/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-14
09/04/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-15
10/04/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-16
10/04/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-17
10/04/2026;P-003;Producto con margen bajo;11;L 105.00;L 100.00;C-18
10/04/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-01
11/04/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-02
11/04/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-03
11/04/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-04
12/04/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-05
12/04/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-06
12/04/2026;P-004;Producto por agotarse;19;L 160.00;L 105.00;C-07
13/04/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-08
13/04/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-09
13/04/2026;P-004;Producto por agotarse;18;L 160.00;L 105.00;C-10
14/04/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-11
14/04/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-12
14/04/2026;P-004;Producto por agotarse;19;L 160.00;L 105.00;C-13
15/04/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-14
15/04/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-15
15/04/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-16
15/04/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-17
16/04/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-18
16/04/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-01
16/04/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-02
17/04/2026;P-001;Producto rentable;9;L 180.00;L 95.00;C-03
17/04/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-04
17/04/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-05
18/04/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-06
18/04/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-07
18/04/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-08
19/04/2026;P-001;Producto rentable;3;L 180.00;L 95.00;C-09
19/04/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-10
19/04/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-11
20/04/2026;P-001;Producto rentable;13;L 180.00;L 95.00;C-12
20/04/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-13
20/04/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-14
21/04/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-15
21/04/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-16
21/04/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-17
22/04/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-18
22/04/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-01
22/04/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-02
23/04/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-03
23/04/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-04
23/04/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-05
23/04/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-06
24/04/2026;P-001;Producto rentable;10;L 180.00;L 95.00;C-07
24/04/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-08
24/04/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-09
25/04/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-10
25/04/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-11
25/04/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-12
26/04/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-13
26/04/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-14
26/04/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-15
27/04/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-16
27/04/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-17
27/04/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-18
28/04/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-01
28/04/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-02
28/04/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-03
29/04/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-04
29/04/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-05
29/04/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-06
30/04/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-07
30/04/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-08
30/04/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-09
01/05/2026;P-001;Producto rentable;10;L 180.00;L 95.00;C-10
01/05/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-11
01/05/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-12
01/05/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-13
02/05/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-14
02/05/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-15
02/05/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-16
03/05/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-17
03/05/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-18
03/05/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-01
04/05/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-02
04/05/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-03
04/05/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-04
05/05/2026;P-001;Producto rentable;14;L 180.00;L 95.00;C-05
05/05/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-06
05/05/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-07
06/05/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-08
06/05/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-09
06/05/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-10
06/05/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-11
07/05/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-12
07/05/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-13
07/05/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-14
08/05/2026;P-001;Producto rentable;10;L 180.00;L 95.00;C-15
08/05/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-16
08/05/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-17
09/05/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-18
09/05/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-01
09/05/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-02
10/05/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-03
10/05/2026;P-003;Producto con margen bajo;6;L 105.00;L 100.00;C-04
10/05/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-05
11/05/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-06
11/05/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-07
11/05/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-08
12/05/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-09
12/05/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-10
12/05/2026;P-004;Producto por agotarse;20;L 160.00;L 105.00;C-11
13/05/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-12
13/05/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-13
13/05/2026;P-004;Producto por agotarse;21;L 160.00;L 105.00;C-14
14/05/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-15
14/05/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-16
14/05/2026;P-004;Producto por agotarse;22;L 160.00;L 105.00;C-17
15/05/2026;P-001;Producto rentable;10;L 180.00;L 95.00;C-18
15/05/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-01
15/05/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-02
15/05/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-03
16/05/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-04
16/05/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-05
16/05/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-06
17/05/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-07
17/05/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-08
17/05/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-09
18/05/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-10
18/05/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-11
18/05/2026;P-004;Producto por agotarse;9;L 160.00;L 105.00;C-12
19/05/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-13
19/05/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-14
19/05/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-15
19/05/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-16
20/05/2026;P-001;Producto rentable;14;L 180.00;L 95.00;C-17
20/05/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-18
20/05/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-01
21/05/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-02
21/05/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-03
21/05/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-04
22/05/2026;P-001;Producto rentable;10;L 180.00;L 95.00;C-05
22/05/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-06
22/05/2026;P-004;Producto por agotarse;14;L 160.00;L 105.00;C-07
23/05/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-08
23/05/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-09
23/05/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-10
24/05/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-11
24/05/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-12
24/05/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-13
25/05/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-14
25/05/2026;P-003;Producto con margen bajo;10;L 105.00;L 100.00;C-15
25/05/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-16
26/05/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-17
26/05/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-18
26/05/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-01
27/05/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-02
27/05/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-03
27/05/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-04
28/05/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-05
28/05/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-06
28/05/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-07
29/05/2026;P-001;Producto rentable;10;L 180.00;L 95.00;C-08
29/05/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-09
29/05/2026;P-004;Producto por agotarse;15;L 160.00;L 105.00;C-10
30/05/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-11
30/05/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-12
30/05/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-13
31/05/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-14
31/05/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-15
31/05/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-16
01/06/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-17
01/06/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-18
01/06/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-01
01/06/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-02
02/06/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-03
02/06/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-04
02/06/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-05
03/06/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-06
03/06/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-07
03/06/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-08
04/06/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-09
04/06/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-10
04/06/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-11
05/06/2026;P-001;Producto rentable;17;L 180.00;L 95.00;C-12
05/06/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-13
05/06/2026;P-004;Producto por agotarse;15;L 160.00;L 105.00;C-14
06/06/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-15
06/06/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-16
06/06/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-17
07/06/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-18
07/06/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-01
07/06/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-02
08/06/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-03
08/06/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-04
08/06/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-05
09/06/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-06
09/06/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-07
09/06/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-08
10/06/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-09
10/06/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-10
10/06/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-11
11/06/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-12
11/06/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-13
11/06/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-14
12/06/2026;P-001;Producto rentable;10;L 180.00;L 95.00;C-15
12/06/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-16
12/06/2026;P-004;Producto por agotarse;25;L 160.00;L 105.00;C-17
13/06/2026;P-001;Producto rentable;5;L 180.00;L 95.00;C-18
13/06/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-01
13/06/2026;P-004;Producto por agotarse;23;L 160.00;L 105.00;C-02
14/06/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-03
14/06/2026;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-04
14/06/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-05
14/06/2026;P-004;Producto por agotarse;21;L 160.00;L 105.00;C-06
15/06/2026;P-001;Producto rentable;6;L 180.00;L 95.00;C-07
15/06/2026;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-08
15/06/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-09
15/06/2026;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-10
16/06/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-11
16/06/2026;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-12
16/06/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-13
17/06/2026;P-001;Producto rentable;7;L 180.00;L 95.00;C-14
17/06/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-15
17/06/2026;P-004;Producto por agotarse;12;L 160.00;L 105.00;C-16
18/06/2026;P-001;Producto rentable;8;L 180.00;L 95.00;C-17
18/06/2026;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-18
18/06/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-01
19/06/2026;P-001;Producto rentable;10;L 180.00;L 95.00;C-02
19/06/2026;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-03
19/06/2026;P-004;Producto por agotarse;15;L 160.00;L 105.00;C-04
20/06/2026;P-001;Producto rentable;12;L 180.00;L 95.00;C-05
20/06/2026;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-06
20/06/2026;P-004;Producto por agotarse;13;L 160.00;L 105.00;C-07
21/06/2026;P-001;Producto rentable;4;L 180.00;L 95.00;C-08
21/06/2026;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-09
21/06/2026;P-004;Producto por agotarse;11;L 160.00;L 105.00;C-10
